line_item,rate,option_a_sidecar_qty,option_a_sidecar_usd,option_b_g4dn_m7i_qty,option_b_g4dn_m7i_usd,option_c_g4dn_c7i_qty,option_c_g4dn_c7i_usd
EC2: g4dn.2xlarge (on-demand),$1.0520/hr,730 hr,$767.96,730 hr,$767.96,730 hr,$767.96
EC2: m7i.2xlarge (on-demand),$0.5040/hr,0 hr,$0.00,730 hr,$367.92,0 hr,$0.00
EC2: c7i.2xlarge (on-demand),$0.4116/hr,0 hr,$0.00,0 hr,$0.00,730 hr,$300.47
Root EBS gp3,$0.096/GiB-mo,30 GiB,$2.88,80 GiB,$7.68,80 GiB,$7.68
HF cache EBS gp3 (GPU-side),$0.096/GiB-mo,0 GiB,$0.00,0 GiB,$0.00,0 GiB,$0.00
HF cache EBS gp3 (CPU-side),$0.096/GiB-mo,0 GiB,$0.00,0 GiB,$0.00,0 GiB,$0.00
Instance NVMe SSD (g4dn included, ephemeral),included in instance price,225 GB,$0.00,225 GB,$0.00,225 GB,$0.00
ALB hourly,$0.0275/hr,730 hr,$20.08,730 hr,$20.08,730 hr,$20.08
ALB LCU,$0.008/LCU-hr,1000 LCU-hr,$8.00,1000 LCU-hr,$8.00,1000 LCU-hr,$8.00
NAT Gateway hourly,$0.059/hr,730 hr,$43.07,730 hr,$43.07,730 hr,$43.07
NAT Gateway data processed,$0.059/GB,75 GB,$4.43,80 GB,$4.72,80 GB,$4.72
CloudWatch Logs ingest,$0.67/GB,5 GB,$3.35,8 GB,$5.36,8 GB,$5.36
Secrets Manager,$0.40/secret-mo,1 secret,$0.40,1 secret,$0.40,1 secret,$0.40
ECR storage,$0.10/GiB-mo,3 GiB,$0.30,3 GiB,$0.30,3 GiB,$0.30
Inter-container data transfer,$0.00/GB (loopback or same-AZ),0 GB,$0.00,0 GB,$0.00,0 GB,$0.00
,,,,,,,
Monthly total (on-demand),,,$850.47,,$1225.49,,$1158.04
,,,,,,,
=== Pricing tier summary (monthly totals) ===,,,,,,,
Tier,g4dn.2xlarge $/hr,m7i.2xlarge $/hr,c7i.2xlarge $/hr,,,,
On-demand,$1.0520,$0.5040,$0.4116,,,,
1yr Reserved (No Upfront),$0.6630,$0.3334,$0.2732,,,,
3yr Reserved (No Upfront),$0.5110,$0.2286,$0.1867,,,,
Spot (est. ~55-60% off OD),$0.5786,$0.2016,$0.1646,,,,
,,,,,,,
Option,On-demand,1yr RI NU,3yr RI NU,3yr RI GPU + Spot CPU,,,
A: Sidecar (g4dn only),$850.47,$566.50,$455.54,N/A (no CPU to spot),,,
B: Split g4dn + m7i,$1225.49,$816.98,$629.52,$609.81,,,
C: Split g4dn + c7i,$1158.04,$773.04,$598.93,$582.82,,,
,,,,,,,
Delta vs Option A (cheapest),On-demand,1yr RI NU,3yr RI NU,,,,
B - A,+$375.02,+$250.48,+$173.98,,,,
C - A,+$307.57,+$206.54,+$143.39,,,,
,,,,,,,
=== Cold-start cost of all-NVMe policy ===,,,,,,,
Event,What re-runs,Time,NAT egress,,,,
ASG instance replace (GPU),"Docker pulls + SGL weights (1.8 GB) + ONNX export (if CPU sidecar)",~3-5 min,"$0.11 (1.8 GB × $0.059/GB)",,,,
ASG instance replace (CPU Opt B/C),"Docker pull + ONNX re-export",~1-2 min,negligible,,,,
Replacements per year (monthly AMI patch),12,~60 min/yr of cold-start,~$1.32/yr,,,,
